19/01/2023 09:00,Chesterfield,Lionel Rossi,"Large Flavoured latte - Hazelnut - 2.85, Large Flat white - 2.45, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured latte - Hazelnut - 2.55",10.7,CASH,
19/01/2023 09:02,Chesterfield,Steve Ovit,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,1225079442163876
19/01/2023 09:04,Chesterfield,Cheryl Dyke,"Regular Flavoured iced latte - Caramel - 2.75, Large Flat white - 2.45",5.2,CARD,9975480195575913
19/01/2023 09:06,Chesterfield,Agnes Robinson,"Large Latte - 2.45, Large Latte - 2.45, Regular Flat white - 2.15",7.05,CARD,6317328055713603
19/01/2023 09:08,Chesterfield,Thomas Davies,"Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75",5.6,CARD,4625387818523206
19/01/2023 09:10,Chesterfield,Bessie Hall,Large Flavoured iced latte - Hazelnut - 3.25,3.25,CARD,6004886919283124
19/01/2023 09:12,Chesterfield,Mildred Bormuth,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25, Regular Flat white - 2.15, Regular Flat white - 2.15, Large Flavoured iced latte - Vanilla - 3.25",16.6,CARD,7871697465177158
19/01/2023 09:14,Chesterfield,Cynthia Hill,"Regular Flat white - 2.15, Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured iced latte - Vanilla - 2.75",8.15,CARD,2770092822588143
19/01/2023 09:17,Chesterfield,Jessica Schwald,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Latte - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured latte - Hazelnut - 2.55, Regular Latte - 2.15",15.1,CARD,1170326248117833
19/01/2023 09:19,Chesterfield,Mary Davis,"Large Flat white - 2.45, Regular Latte - 2.15",4.6,CARD,8182901494938225
19/01/2023 09:21,Chesterfield,Jennifer Roekle,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Regular Flat white - 2.15",10.4,CASH,
19/01/2023 09:23,Chesterfield,Brian Bechtold,"Large Flavoured iced latte - Caramel - 3.25, Large Latte - 2.45, Large Flavoured iced latte - Hazelnut - 3.25",8.95,CARD,1257214290562365
19/01/2023 09:25,Chesterfield,Sidney Browning,"Regular Latte - 2.15, Large Latte - 2.45",4.6,CASH,
19/01/2023 09:27,Chesterfield,Kimberly Vanmiddleswor,"Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Regular Flat white - 2.15",7.45,CARD,3212724976946353
19/01/2023 09:29,Chesterfield,Bessie Salinas,Large Flavoured iced latte - Vanilla - 3.25,3.25,CARD,2106396439674626
19/01/2023 09:32,Chesterfield,John Beauchesne,Regular Flat white - 2.15,2.15,CARD,6397944119790957
19/01/2023 09:34,Chesterfield,Muriel Armendariz,"Large Latte - 2.45, Regular Flavoured latte - Hazelnut - 2.55",5.0,CARD,7959376380051230
19/01/2023 09:36,Chesterfield,Martha Riordan,"Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75",8.35,CARD,5243230395563809
19/01/2023 09:38,Chesterfield,Marian Sanchez,Regular Flat white - 2.15,2.15,CARD,5605753802716308
19/01/2023 09:40,Chesterfield,William Ayres,"Regular Latte - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Hazelnut - 3.25",8.15,CARD,9732326022277203
19/01/2023 09:42,Chesterfield,Richard Trainor,"Regular Flavoured iced latte - Caramel - 2.75, Large Latte - 2.45",5.2,CASH,
19/01/2023 09:44,Chesterfield,Melonie Parham,Large Latte - 2.45,2.45,CASH,
19/01/2023 09:46,Chesterfield,Donald Smith,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Hazelnut - 2.75",7.85,CARD,2424945380911536
