18/01/2023 09:00,Longridge,Alicia Morton,"Large Speciality Tea - Earl Grey - 1.60, Large Glass of milk - 1.10, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25",9.2,CARD,3456026429661285
18/01/2023 09:01,Longridge,Robert Nguyen,"Regular Glass of milk - 0.70, Large Glass of milk - 1.10, Large Flavoured iced latte - Caramel - 3.25",5.05,CASH,
18/01/2023 09:02,Longridge,Carlos Reed,"Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25",4.85,CARD,4488050363007435
18/01/2023 09:03,Longridge,James Dean,"Large Glass of milk - 1.10, Regular Frappes - Strawberries & Cream - 2.75",3.85,CARD,7888502341537675
18/01/2023 09:04,Longridge,Melody Cantu,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,8193179874324625
18/01/2023 09:05,Longridge,Julia Everett,"Regular Speciality Tea - Earl Grey - 1.30, Regular Mocha - 2.30, Regular Mocha - 2.30, Regular Frappes - Strawberries & Cream - 2.75, Large Smoothies - Glowing Greens - 2.50",11.15,CARD,2531514866466384
18/01/2023 09:06,Longridge,Barbara Bourque,Regular Smoothies - Glowing Greens - 2.00,2.0,CASH,
18/01/2023 09:07,Longridge,Greg Shultz,"Large Smoothies - Glowing Greens - 2.50, Large Flavoured iced latte - Caramel - 3.25, Large Frappes - Strawberries & Cream - 3.25",9.0,CARD,2127399047692928
18/01/2023 09:08,Longridge,Tamra Wulff,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,6085898738169979
18/01/2023 09:09,Longridge,Kenneth Lewis,"Regular Speciality Tea - Earl Grey - 1.30, Large Glass of milk - 1.10, Large Frappes - Strawberries & Cream - 3.25, Regular Speciality Tea - Earl Grey - 1.30",6.95,CARD,5103071460251320
18/01/2023 09:10,Longridge,David Smith,"Regular Mocha - 2.30, Regular Mocha - 2.30, Large Flavoured iced latte - Caramel - 3.25, Regular Glass of milk - 0.70",8.55,CARD,6931902487698978
18/01/2023 09:11,Longridge,Maria Crespin,Large Frappes - Strawberries & Cream - 3.25,3.25,CARD,7224486397838559
18/01/2023 09:13,Longridge,Michael Reffitt,"Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Caramel - 2.75",5.5,CARD,1631293624979529
18/01/2023 09:14,Longridge,Anthony Cox,"Large Flavoured iced latte - Caramel - 3.25, Regular Mocha - 2.30",5.55,CARD,5346562823255304
18/01/2023 09:15,Longridge,Joel Church,Large Speciality Tea - Earl Grey - 1.60,1.6,CARD,2884873893858892
